"Date","Price","Open","High","Low","Vol.","Change %"
"07/05/2024","1,535.000","1,535.000","1,540.175","1,474.000","","0.00%"
"07/04/2024","1,535.000","1,535.000","1,537.925","1,502.925","","0.00%"
"07/03/2024","1,535.000","1,535.000","1,537.925","1,474.000","","0.00%"
"07/02/2024","1,535.000","1,525.000","1,535.000","1,470.345","","0.66%"
"07/01/2024","1,525.000","1,513.730","1,533.865","1,465.845","","0.00%"
"06/28/2024","1,525.000","1,525.000","1,533.865","1,478.500","","0.00%"
"06/27/2024","1,525.000","1,525.000","1,535.000","1,478.500","","0.00%"
"06/26/2024","1,525.000","1,525.000","1,526.680","1,485.000","","0.00%"
"06/25/2024","1,525.000","1,515.000","1,525.000","1,465.000","","0.66%"
"06/24/2024","1,515.000","1,515.000","1,516.150","1,470.755","","0.00%"
"06/21/2024","1,515.000","1,495.000","1,516.150","1,467.500","","1.34%"
"06/20/2024","1,495.000","1,495.000","1,505.500","1,470.000","","0.00%"
"06/19/2024","1,495.000","1,495.000","1,505.820","1,462.500","","0.00%"
"06/18/2024","1,495.000","1,505.000","1,510.820","1,471.820","","0.90%"
"06/17/2024","1,481.640","1,482.640","1,486.320","1,482.320","","-1.55%"
"06/14/2024","1,505.000","1,525.000","1,525.820","1,470.000","","-1.31%"
"06/13/2024","1,525.000","1,525.000","1,525.025","1,466.000","","0.00%"
"06/12/2024","1,525.000","1,525.000","1,525.500","1,481.025","","0.00%"
"06/11/2024","1,525.000","1,510.000","1,525.320","1,458.400","","0.99%"
"06/10/2024","1,510.000","1,485.820","1,519.910","1,433.400","","4.14%"
"06/07/2024","1,450.000","1,500.000","1,517.410","1,439.585","","-3.33%"
"06/06/2024","1,500.000","1,500.000","1,516.000","1,451.000","","0.00%"
"06/05/2024","1,500.000","1,500.000","1,516.000","1,450.800","","0.00%"
"06/04/2024","1,500.000","1,483.480","1,516.240","1,450.400","","1.21%"
"06/03/2024","1,482.000","1,485.000","1,507.000","1,462.240","","-0.13%"
"05/31/2024","1,484.000","1,197.100","1,510.000","1,197.050","","24.07%"
"05/30/2024","1,196.100","1,321.000","1,495.000","1,197.050","","-9.39%"
"05/29/2024","1,320.000","1,380.000","1,435.000","1,305.500","","1.46%"
"05/28/2024","1,301.000","1,475.000","1,485.000","1,301.500","","-11.74%"
"05/27/2024","1,474.000","1,475.000","1,507.500","1,468.000","","0.00%"
"05/24/2024","1,474.000","1,468.000","1,480.000","1,467.000","","0.48%"
"05/23/2024","1,467.000","1,440.000","1,488.500","1,415.000","","1.88%"
"05/22/2024","1,440.000","1,416.000","1,470.000","1,416.000","","1.77%"
"05/21/2024","1,415.000","1,530.850","1,530.850","1,416.000","","-7.51%"
"05/20/2024","1,529.850","1,468.000","1,534.425","1,456.000","","4.28%"
"05/17/2024","1,467.000","1,521.000","1,525.000","1,434.500","","-3.49%"
"05/16/2024","1,520.000","1,520.000","1,545.000","1,520.000","","0.07%"
"05/15/2024","1,519.000","1,499.000","1,545.000","1,475.000","","1.40%"
"05/14/2024","1,498.000","1,420.900","1,525.000","1,382.500","","5.50%"
"05/13/2024","1,419.900","1,440.800","1,475.000","1,395.000","","-1.38%"
"05/10/2024","1,439.800","1,430.050","1,465.000","1,430.050","","1.43%"
"05/09/2024","1,419.530","1,407.400","1,445.000","1,406.250","","1.05%"
"05/08/2024","1,404.800","1,383.900","1,430.000","1,383.900","","1.50%"
"05/07/2024","1,384.000","1,381.000","1,389.000","1,380.000","","0.00%"
"05/06/2024","1,384.000","1,393.740","1,406.340","1,383.000","","0.11%"
"05/03/2024","1,382.500","1,372.950","1,409.420","1,372.950","","2.41%"
"05/02/2024","1,349.900","1,390.520","1,397.260","1,350.900","","-2.81%"
"05/01/2024","1,389.000","1,390.000","1,394.260","1,390.000","","0.00%"
"04/30/2024","1,389.000","1,415.000","1,415.000","1,365.000","","2.51%"
"04/29/2024","1,355.000","1,380.000","1,390.000","1,356.000","","1.92%"
"04/26/2024","1,329.440","1,278.030","1,385.000","1,278.030","","4.10%"
"04/25/2024","1,277.030","1,350.000","1,400.000","1,278.015","","2.08%"
"04/24/2024","1,251.050","1,231.000","1,345.000","1,231.000","","1.71%"
